"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Alex Texier","ALEX.TEXIER","8480074","21-22","CBJ","C","L",1999-09-13,22,2017,2,45,36,525.87,11,7,2,20,59,82,109,7.98,18.64,13.41,9.73,12,5,16,13,20,6,7,0,0,1,20,37,-17
"Alex True","ALEX.TRUE","8480384","21-22","SEA","C","L",1997-07-17,24,2015,NA,NA,8,65.98,0,0,0,0,6,6,7,0.31,0,0,5.17,2,1,1,22,9,1,0,0,0,-1,12,15,-3
"Alex Tuch","ALEX.TUCH","8477949","21-22","BUF","R","R",1996-05-10,25,2014,1,18,37,693.03,9,13,8,30,109,142,169,12.23,8.26,6.34,8.61,38,18,30,27,18,5,6,0,0,1,7,12,-5
"Alex Turcotte","ALEX.TURCOTTE","8481532","21-22","L.A","C","L",2001-02-26,20,2019,1,5,8,90,0,0,0,0,13,16,19,1.07,0,0,6.69,2,3,3,8,11,1,0,0,0,-1,12,17,-5
"Alex Wennberg","ALEX.WENNBERG","8477505","21-22","SEA","C","L",1994-09-22,26,2013,1,14,66,1196.68,9,13,8,30,81,103,133,7.62,11.11,8.74,7.4,37,30,36,44,74,11,11,0,0,0,479,533,-54
"Alexei Toropchenko","ALEXEI.TOROPCHENKO","8480281","21-22","STL","R","L",1999-06-25,22,2017,4,113,17,179.22,2,0,0,2,28,38,43,2.93,7.14,5.26,7.71,11,3,3,46,29,3,5,1,1,2,1,2,-1
"Alexis Lafrenière","ALEXIS.LAFRENIÈRE","8482109","21-22","NYR","L","L",2001-10-11,19,2020,1,1,67,937.12,15,5,5,25,85,121,156,10.31,17.65,12.4,8.52,24,23,36,96,90,16,11,1,1,-5,10,28,-18
"Aliaksei Protas","ALIAKSEI.PROTAS","8481656","21-22","WSH","C","L",2001-01-06,20,2019,3,91,33,390.5,3,4,2,9,34,44,61,4.61,8.82,6.82,10.48,12,15,8,20,33,0,3,0,0,3,56,69,-13
"Anders Bjork","ANDERS.BJORK","8478075","21-22","BUF","L","L",1996-08-05,25,2014,5,146,51,619.63,4,2,0,6,42,53,79,3.79,9.52,7.55,7.15,15,9,16,10,44,5,7,0,0,2,1,4,-3
"Anders Lee","ANDERS.LEE","8475314","21-22","NYI","C/L","L",1990-07-03,31,2009,6,151,61,1014.88,25,9,6,40,129,181,215,21.43,19.38,13.81,11.84,21,20,10,72,51,14,12,0,0,-2,63,66,-3
"Andre Burakovsky","ANDRE.BURAKOVSKY","8477444","21-22","COL","L","L",1995-02-09,26,2013,1,23,66,1064.25,19,17,12,48,116,171,257,11.18,16.38,11.11,6.54,28,31,24,38,78,8,13,0,0,5,8,12,-4
"Andreas Athanasiou","ANDREAS.ATHANASIOU","8476960","21-22","L.A","C","L",1994-08-06,27,2012,4,110,22,323.17,9,3,2,14,51,72,87,5.76,17.65,12.5,8,6,8,10,7,20,1,5,0,0,4,7,5,2
"Andreas Johnsson","ANDREAS.JOHNSSON","8477341","21-22","N.J","L","L",1994-11-21,26,2013,7,202,60,869.47,11,15,4,30,107,136,162,11.67,10.28,8.09,8.58,17,23,22,55,73,13,20,0,0,7,4,10,-6
"Andrei Svechnikov","ANDREI.SVECHNIKOV","8480830","21-22","CAR","R","L",2000-03-26,21,2018,1,2,65,1133.72,27,19,14,60,216,309,397,28.84,12.5,8.74,9.33,13,68,36,156,113,32,25,1,1,-7,0,6,-6
"Andrej Sekera","ANDREJ.SEKERA","8471284","21-22","DAL","D","L",1986-06-08,35,2004,3,71,29,399.2,1,1,2,4,22,30,46,0.76,4.55,3.33,2.53,22,12,3,14,32,7,3,0,0,-4,0,0,0
"Andrej Sustr","ANDREJ.SUSTR","8477205","21-22","ANA","D","R",1990-11-29,30,2009,NA,NA,11,193.37,0,0,1,1,10,11,16,0.23,0,0,2.09,19,10,3,6,16,3,2,0,0,-1,0,0,0
"Andrej Sustr","ANDREJ.SUSTR","8477205","21-22","T.B","D","R",1990-11-29,30,2009,NA,NA,15,158.32,1,0,0,1,10,16,29,0.28,10,6.25,1.75,6,3,2,8,17,3,0,0,0,-3,0,0,0
"Andrew Cogliano","ANDREW.COGLIANO","8471699","21-22","COL","C","L",1987-06-14,34,2005,1,25,5,52.33,0,1,0,1,7,8,9,0.35,0,0,4.38,2,0,1,10,1,1,1,0,0,0,0,0,0
"Andrew Cogliano","ANDREW.COGLIANO","8471699","21-22","S.J","C","L",1987-06-14,34,2005,1,25,56,739.27,4,6,5,15,58,84,102,6.09,6.9,4.76,7.25,21,19,24,82,40,6,5,0,0,-1,9,12,-3
"Andrew Copp","ANDREW.COPP","8477429","21-22","NYR","C","L",1994-07-08,27,2013,4,104,6,108.4,2,1,4,7,15,20,22,1.85,13.33,10,9.25,2,2,3,6,5,3,0,0,0,-3,35,34,1
"Andrew Copp","ANDREW.COPP","8477429","21-22","WPG","C","L",1994-07-08,27,2013,4,104,56,1108.35,13,14,8,35,151,203,234,19.31,8.61,6.4,9.51,36,33,30,35,65,4,7,0,0,3,312,266,46
"Andrew Ladd","ANDREW.LADD","8471217","21-22","ARI","L","L",1985-12-12,35,2004,1,4,42,584.38,6,2,1,9,47,68,92,6,12.77,8.82,8.82,27,18,15,62,44,13,4,1,1,-9,5,2,3
"Andrew Mangiapane","ANDREW.MANGIAPANE","8478233","21-22","CGY","L","L",1996-04-04,25,2015,6,166,67,1061.63,30,11,4,45,155,199,250,19.95,19.35,15.08,10.03,30,36,47,57,53,10,16,0,0,6,21,25,-4
"Andrew Peeke","ANDREW.PEEKE","8479369","21-22","CBJ","D","R",1998-03-17,23,2016,2,34,68,1449.8,1,4,9,14,57,90,135,2.58,1.75,1.11,2.87,140,28,13,155,103,18,10,2,2,-8,0,0,0
"Andy Greene","ANDY.GREENE","8472382","21-22","NYI","D","L",1982-10-30,38,2001,NA,NA,54,944.07,2,4,3,9,40,70,102,1.34,5,2.86,1.91,97,28,11,28,72,3,3,0,0,0,0,0,0
"Anthony Beauvillier","ANTHONY.BEAUVILLIER","8478463","21-22","NYI","L","L",1997-06-08,24,2015,1,28,64,1080.32,11,14,7,32,140,182,227,16.26,7.86,6.04,8.93,17,39,28,31,82,4,9,0,0,5,4,6,-2
"Anthony Cirelli","ANTHONY.CIRELLI","8478519","21-22","T.B","C","L",1997-07-15,24,2015,3,72,62,1165,14,11,12,37,119,163,206,14.93,11.76,8.59,9.16,59,11,43,63,89,17,33,2,2,16,368,411,-43
"Anthony Duclair","ANTHONY.DUCLAIR","8477407","21-22","FLA","L","L",1995-08-26,26,2013,3,80,59,895.83,26,15,8,49,127,156,193,17.48,20.47,16.67,11.21,14,43,30,28,80,7,16,0,0,9,1,1,0
"Anthony Mantha","ANTHONY.MANTHA","8477511","21-22","WSH","R","L",1994-09-16,26,2013,1,20,23,351.52,7,6,1,14,55,62,75,5.88,12.73,11.29,9.48,13,6,6,25,20,6,2,0,0,-4,0,0,0
"Antoine Roussel","ANTOINE.ROUSSEL","8474849","21-22","ARI","L","L",1989-11-21,31,2008,NA,NA,47,561.4,3,3,0,6,48,74,90,5.6,6.25,4.05,7.57,32,12,9,65,65,10,12,1,1,2,17,22,-5
"Anton Blidh","ANTON.BLIDH","8477320","21-22","BOS","L","L",1995-03-14,26,2013,6,180,30,318,2,4,3,9,24,32,40,2.18,8.33,6.25,6.81,16,5,6,77,45,6,7,0,0,1,0,3,-3
"Anton Lundell","ANTON.LUNDELL","8482113","21-22","FLA","C","L",2001-10-03,19,2020,1,12,52,838.4,14,12,12,38,97,139,177,10.68,14.43,10.07,7.68,47,27,51,25,62,8,12,0,0,4,293,347,-54
"Anton Stralman","ANTON.STRALMAN","8471873","21-22","ARI","D","R",1986-08-01,35,2005,7,216,60,1260.43,5,3,8,16,80,100,144,3.35,6.25,5,3.35,83,21,20,71,63,4,4,0,0,0,0,0,0
"Anze Kopitar","ANZE.KOPITAR","8471685","21-22","L.A","C","L",1987-08-24,34,2005,1,11,70,1455.02,17,24,16,57,185,245,300,18.16,9.19,6.94,7.41,60,26,42,61,75,7,15,0,0,8,768,568,200
"Artem Zub","ARTEM.ZUB","8482245","21-22","OTT","D","R",1995-10-03,25,2014,NA,NA,67,1440.48,5,6,9,20,77,107,165,3.66,6.49,4.67,3.42,115,50,13,133,111,23,6,0,0,-17,0,0,0
"Artemi Panarin","ARTEMI.PANARIN","8478550","21-22","NYR","C/L","R",1991-10-30,29,2010,NA,NA,64,1240.38,18,36,26,80,150,231,318,16.34,12,7.79,7.07,13,57,53,20,42,3,11,0,0,8,1,1,0
"Arthur Kaliyev","ARTHUR.KALIYEV","8481560","21-22","L.A","R","L",2001-06-26,20,2019,2,33,69,889.28,13,9,1,23,172,225,268,14.02,7.56,5.78,6.23,11,16,19,24,93,10,5,0,0,-5,0,0,0
"Arttu Ruotsalainen","ARTTU.RUOTSALAINEN","8481626","21-22","BUF","C","L",1997-10-29,23,2016,NA,NA,18,214,2,2,0,4,23,28,37,1.81,8.7,7.14,6.46,6,0,5,14,8,3,1,0,0,-2,51,69,-18
"Artturi Lehkonen","ARTTURI.LEHKONEN","8477476","21-22","MTL","L","L",1995-07-04,26,2013,2,55,58,852.43,13,11,5,29,110,149,187,13.37,11.82,8.72,8.97,26,13,15,59,88,7,8,0,0,1,8,15,-7
"Austin Czarnik","AUSTIN.CZARNIK","8478512","21-22","NYI","C","R",1992-12-12,28,2011,NA,NA,11,120.53,2,2,1,5,9,13,15,1.22,22.22,15.38,9.38,5,4,4,2,9,0,0,0,0,0,24,34,-10
"Austin Czarnik","AUSTIN.CZARNIK","8478512","21-22","SEA","C","R",1992-12-12,28,2011,NA,NA,6,64.77,0,1,1,2,5,9,14,0.31,0,0,3.44,2,0,2,1,3,0,1,0,0,1,0,1,-1
"Austin Poganski","AUSTIN.POGANSKI","8478040","21-22","WPG","R","R",1996-02-16,25,2014,4,110,16,149.15,0,0,0,0,9,16,19,1,0,0,6.25,5,1,1,23,23,1,0,1,1,-1,0,0,0
"Austin Strand","AUSTIN.STRAND","8480467","21-22","L.A","D","R",1997-02-17,24,2015,NA,NA,8,122.32,0,1,1,2,9,9,14,0.25,0,0,2.78,5,4,2,7,18,0,1,0,0,1,0,0,0
"Austin Watson","AUSTIN.WATSON","8475766","21-22","OTT","L","R",1992-01-13,29,2010,1,18,52,613.23,4,2,1,7,64,85,107,4.54,6.25,4.71,5.34,54,13,14,155,45,18,14,7,7,-4,3,8,-5
"Auston Matthews","AUSTON.MATTHEWS","8479318","21-22","TOR","C","L",1997-09-17,23,2016,1,1,62,1267.97,50,22,15,87,283,395,491,33.62,17.67,12.66,8.51,48,42,75,55,89,7,9,0,0,2,589,437,152
"Axel Jonsson-Fjallby","AXEL.JONSSON-FJALLBY","8479536","21-22","WSH","L","L",1998-02-10,23,2016,5,147,21,237.17,1,2,0,3,26,36,44,2.17,3.85,2.78,6.03,8,5,2,15,28,1,4,0,0,3,1,3,-2
"Barclay Goodrow","BARCLAY.GOODROW","8476624","21-22","NYR","C","L",1993-02-26,28,2011,NA,NA,66,1120.35,13,9,3,25,99,132,152,14.49,13.13,9.85,10.98,47,31,29,105,63,19,12,2,2,-7,294,319,-25
"Barrett Hayton","BARRETT.HAYTON","8480849","21-22","ARI","C","L",2000-06-09,21,2018,1,5,46,716.05,7,7,3,17,51,76,101,6.86,13.73,9.21,9.03,26,11,12,62,75,6,12,0,0,6,319,330,-11
"Beck Malenstyn","BECK.MALENSTYN","8479359","21-22","WSH","L","L",1998-02-04,23,2016,5,145,12,108.53,1,0,0,1,10,15,17,1.09,10,6.67,7.27,7,1,2,34,22,2,1,1,1,-1,1,6,-5
"Ben Chiarot","BEN.CHIAROT","8475279","21-22","FLA","D","L",1991-05-09,30,2009,4,119,5,108.08,0,2,0,2,18,21,30,0.54,0,0,2.57,12,4,0,12,9,1,0,0,0,-1,0,0,0
"Ben Chiarot","BEN.CHIAROT","8475279","21-22","MTL","D","L",1991-05-09,30,2009,4,119,54,1271.42,7,7,4,18,96,118,185,3.63,7.29,5.93,3.08,91,57,17,110,74,21,5,0,0,-16,0,0,0
"Ben Harpur","BEN.HARPUR","8477433","21-22","NSH","D","L",1995-01-12,26,2013,4,108,19,261.03,0,0,1,1,13,24,33,0.47,0,0,1.96,21,12,0,36,31,6,2,3,3,-4,0,0,0
"Ben Hutton","BEN.HUTTON","8477018","21-22","VGK","D","L",1993-04-20,28,2012,5,147,46,717.78,3,6,2,11,60,81,126,2.4,5,3.7,2.96,60,17,14,38,113,5,3,4,4,-2,0,0,0
"Benoit-Olivier Groulx","BENOIT-OLIVIER.GROULX","8480870","21-22","ANA","C","L",2000-02-06,21,2018,2,54,18,197.9,1,1,1,3,17,21,31,2.24,5.88,4.76,10.67,6,3,4,19,20,1,0,0,0,-1,38,45,-7
"Blake Coleman","BLAKE.COLEMAN","8476399","21-22","CGY","C","L",1991-11-28,29,2011,3,75,66,999.35,13,9,7,29,181,231,283,18.71,7.18,5.63,8.1,41,41,30,131,59,20,14,2,2,-6,2,16,-14
"Blake Comeau","BLAKE.COMEAU","8471260","21-22","DAL","L","R",1986-02-18,35,2004,2,47,6,68.82,1,0,0,1,2,2,5,0.15,50,50,7.5,3,4,1,13,5,2,0,0,0,-2,1,0,1
"Blake Lizotte","BLAKE.LIZOTTE","8481481","21-22","L.A","C","L",1997-12-13,23,2016,NA,NA,61,722.6,8,6,5,19,76,102,119,7.4,10.53,7.84,7.25,11,9,25,63,121,14,15,0,0,1,276,238,38
"Blake Wheeler","BLAKE.WHEELER","8471218","21-22","WPG","R","R",1986-08-31,35,2004,1,5,55,1090.38,12,24,18,54,134,169,217,17.42,8.96,7.1,10.31,31,26,28,53,50,15,9,0,0,-6,3,13,-10
"Bo Horvat","BO.HORVAT","8477500","21-22","VAN","C","L",1995-04-05,26,2013,1,9,64,1250.93,25,11,7,43,170,231,271,20.46,14.71,10.82,8.86,43,24,28,85,53,19,9,0,0,-10,768,585,183
"Boone Jenner","BOONE.JENNER","8476432","21-22","CBJ","C","L",1993-06-15,28,2011,2,37,59,1206.75,23,11,10,44,160,221,266,19.74,14.37,10.41,8.93,56,29,33,80,45,11,13,0,0,2,642,556,86
"Boris Katchouk","BORIS.KATCHOUK","8479383","21-22","CHI","L","L",1998-06-18,23,2016,2,44,8,89.25,0,0,0,0,9,11,12,0.8,0,0,7.27,3,2,1,15,9,2,3,0,0,1,0,1,-1
"Boris Katchouk","BORIS.KATCHOUK","8479383","21-22","T.B","L","L",1998-06-18,23,2016,2,44,38,373.18,2,2,2,6,36,53,67,4.29,5.56,3.77,8.09,11,4,10,98,41,5,11,1,1,6,7,9,-2
"Bowen Byram","BOWEN.BYRAM","8481524","21-22","COL","D","L",2001-06-13,20,2019,1,4,18,352.32,5,2,4,11,35,47,69,1.77,14.29,10.64,3.77,15,7,5,27,40,3,0,0,1,-2,0,0,0
"Brad Hunt","BRAD.HUNT","8476779","21-22","VAN","D","L",1988-08-24,33,2006,NA,NA,38,575.28,3,5,5,13,51,68,97,1.74,5.88,4.41,2.56,41,17,9,15,62,6,2,0,0,-4,0,0,0
"Brad Malone","BRAD.MALONE","8474089","21-22","EDM","C","L",1989-05-20,32,2007,4,105,8,66.23,1,1,0,2,7,9,11,0.79,14.29,11.11,8.78,1,2,0,22,5,1,1,0,0,0,13,14,-1
"Brad Marchand","BRAD.MARCHAND","8473419","21-22","BOS","C/L","L",1988-05-11,33,2006,3,71,56,1074.02,30,24,14,68,195,244,312,20.47,15.38,12.3,8.39,16,53,35,61,79,23,24,2,1,0,10,16,-6
"Brad Richardson","BRAD.RICHARDSON","8470755","21-22","CGY","R","L",1985-02-04,36,2003,5,163,27,268.25,2,1,1,4,19,28,36,1.91,10.53,7.14,6.82,9,3,3,40,32,6,5,1,1,-1,80,56,24
"Brad Richardson","BRAD.RICHARDSON","8470755","21-22","VAN","R","L",1985-02-04,36,2003,5,163,5,57.37,0,1,0,1,3,5,11,0.37,0,0,7.4,6,0,2,7,7,1,0,0,0,-1,25,14,11
"Braden Schneider","BRADEN.SCHNEIDER","8482073","21-22","NYR","D","R",2001-09-20,19,2020,1,19,31,481.32,2,2,4,8,21,34,49,1.01,9.52,5.88,2.97,44,11,5,46,64,3,0,0,0,-3,0,0,0
"Brady Skjei","BRADY.SKJEI","8476869","21-22","CAR","D","L",1994-03-26,27,2012,1,28,68,1432.25,8,10,11,29,149,199,266,7.41,5.37,4.02,3.72,63,52,42,83,100,20,6,0,0,-14,0,0,0
"Brady Tkachuk","BRADY.TKACHUK","8480801","21-22","OTT","L","L",1999-09-16,21,2018,1,4,64,1189.43,23,17,7,47,230,297,375,28.86,10,7.74,9.72,24,52,35,225,105,33,27,4,4,-6,185,171,14
"Brandon Carlo","BRANDON.CARLO","8478443","21-22","BOS","D","R",1996-11-26,24,2015,2,37,65,1283.22,5,4,4,13,112,146,188,2.7,4.46,3.42,1.85,88,21,25,109,155,11,10,1,1,-1,0,0,0
"Brandon Duhaime","BRANDON.DUHAIME","8479520","21-22","MIN","R","L",1997-05-22,24,2016,4,106,64,665.8,6,5,5,16,82,109,144,7.51,7.32,5.5,6.89,16,10,14,162,75,17,12,8,7,-6,6,12,-6
"Brandon Hagel","BRANDON.HAGEL","8479542","21-22","CHI","L","L",1998-08-27,23,2016,6,159,55,960.53,22,12,3,37,95,127,176,11.77,23.16,17.32,9.27,25,25,39,42,131,9,19,1,1,10,12,19,-7
"Brandon Hagel","BRANDON.HAGEL","8479542","21-22","T.B","L","L",1998-08-27,23,2016,6,159,7,85.2,2,0,0,2,9,12,13,1.93,22.22,16.67,16.08,0,1,4,3,11,1,1,0,0,0,2,1,1
"Brandon Montour","BRANDON.MONTOUR","8477986","21-22","FLA","D","R",1994-04-11,27,2014,2,55,66,1144.5,8,6,12,26,127,178,245,7.22,6.3,4.49,4.06,53,31,16,41,85,19,11,0,0,-8,0,0,0
"Brandon Saad","BRANDON.SAAD","8476438","21-22","STL","L","L",1992-10-27,28,2011,2,43,63,1029.08,19,14,6,39,126,158,191,15.99,15.08,12.03,10.12,14,21,38,19,44,4,9,0,0,5,6,9,-3
"Brandon Tanev","BRANDON.TANEV","8479293","21-22","SEA","L","L",1991-12-31,29,2010,NA,NA,30,437.03,9,4,2,15,51,64,77,7.5,17.65,14.06,11.72,22,11,10,98,56,4,5,1,1,1,1,1,0
