"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Alex Chiasson","ALEX.CHIASSON","8475163","21-22","VAN","R","R",1990-10-01,30,2009,2,38,55,585.68,6,3,2,11,64,76,93,7.32,9.38,7.89,9.63,13,6,5,55,66,4,8,0,0,4,6,7,-1
"Alex Debrincat","ALEX.DEBRINCAT","8479337","21-22","CHI","L/R","R",1997-12-18,23,2016,2,39,67,1374.23,38,17,9,64,221,284,385,26.82,17.19,13.38,9.44,31,34,51,87,89,5,19,1,1,14,17,29,-12
"Alex Edler","ALEX.EDLER","8471303","21-22","L.A","D","L",1986-04-21,35,2004,3,91,30,544.52,1,6,4,11,43,62,95,1.67,2.33,1.61,2.69,46,10,5,48,58,11,8,0,0,-3,0,0,0
"Alex Formenton","ALEX.FORMENTON","8480029","21-22","OTT","L","L",1999-09-13,22,2017,2,47,62,938.88,15,7,6,28,127,164,200,17.12,11.81,9.15,10.44,21,22,37,79,50,15,13,2,2,-2,4,5,-1
"Alex Galchenyuk","ALEX.GALCHENYUK","8476851","21-22","ARI","C","L",1994-02-12,27,2012,1,3,46,612.15,5,4,7,16,63,88,103,7.03,7.94,5.68,7.99,21,20,12,48,47,11,4,0,0,-7,161,147,14
"Alex Goligoski","ALEX.GOLIGOSKI","8471274","21-22","MIN","D","L",1985-07-30,36,2004,2,61,58,1101.82,3,10,15,28,67,85,144,2.49,4.48,3.53,2.93,75,20,6,46,60,16,8,0,0,-8,0,0,0
"Alex Holtz","ALEX.HOLTZ","8482125","21-22","N.J","R","R",2002-01-23,19,2020,1,7,7,81.88,0,1,1,2,11,16,21,0.82,0,0,5.12,2,1,4,4,8,1,2,0,0,1,0,0,0
"Alex Iafallo","ALEX.IAFALLO","8480113","21-22","L.A","L","L",1993-12-21,27,2012,NA,NA,66,1223.98,14,9,9,32,178,247,289,19.22,7.87,5.67,7.78,48,9,39,42,57,2,9,0,0,7,12,12,0
"Alex Kerfoot","ALEX.KERFOOT","8477021","21-22","TOR","C","L",1994-08-11,27,2012,5,150,65,990.7,10,19,16,45,94,128,151,10.5,10.64,7.81,8.2,53,35,28,58,121,7,17,0,0,10,48,75,-27
"Alex Killorn","ALEX.KILLORN","8473986","21-22","T.B","C/L","L",1989-09-14,32,2007,3,77,65,1237.75,20,17,13,50,121,169,207,17.75,16.53,11.83,10.5,21,21,35,71,87,27,21,0,0,-6,1,9,-8
"Alex Newhook","ALEX.NEWHOOK","8481618","21-22","COL","C","L",2001-01-28,20,2019,1,16,56,771.73,11,4,8,23,95,120,165,8.2,11.58,9.17,6.83,24,13,19,33,57,5,9,0,0,4,116,228,-112
"Alex Ovechkin","ALEX.OVECHKIN","8471214","21-22","WSH","L","R",1985-09-17,35,2004,1,1,66,1390.92,42,21,15,78,293,411,564,31.11,14.33,10.22,7.57,20,44,27,122,42,9,8,0,0,-1,4,8,-4
"Alex Pietrangelo","ALEX.PIETRANGELO","8474565","21-22","VGK","D","R",1990-01-18,31,2008,1,4,66,1654.95,12,15,11,38,192,263,388,11.14,6.25,4.56,4.24,137,47,81,60,160,15,7,0,0,-8,0,0,0
"Alex Radulov","ALEX.RADULOV","8471228","21-22","DAL","R","L",1986-07-05,35,2004,1,15,58,844.98,4,12,5,21,80,122,158,11.22,5,3.28,9.2,46,24,25,37,61,14,12,0,0,-2,9,10,-1
"Alex Romanov","ALEX.ROMANOV","8481014","21-22","MTL","D","L",2000-01-06,21,2018,2,38,63,1254.63,3,2,7,12,86,118,193,2.66,3.49,2.54,2.25,115,65,19,199,140,11,5,3,3,-6,0,0,0
"Alex Texier","ALEX.TEXIER","8480074","21-22","CBJ","C","L",1999-09-13,22,2017,2,45,36,525.87,11,7,2,20,59,82,109,7.98,18.64,13.41,9.73,12,5,16,13,20,6,7,0,0,1,20,37,-17
"Alex True","ALEX.TRUE","8480384","21-22","SEA","C","L",1997-07-17,24,2015,NA,NA,8,65.98,0,0,0,0,6,6,7,0.31,0,0,5.17,2,1,1,22,9,1,0,0,0,-1,12,15,-3
"Alex Tuch","ALEX.TUCH","8477949","21-22","BUF","R","R",1996-05-10,25,2014,1,18,35,659.65,9,12,7,28,103,133,157,10.86,8.74,6.77,8.17,37,18,27,25,16,5,6,0,0,1,7,12,-5
"Alex Turcotte","ALEX.TURCOTTE","8481532","21-22","L.A","C","L",2001-02-26,20,2019,1,5,8,90,0,0,0,0,13,16,19,1.07,0,0,6.69,2,3,3,8,11,1,0,0,0,-1,12,17,-5
"Alex Wennberg","ALEX.WENNBERG","8477505","21-22","SEA","C","L",1994-09-22,26,2013,1,14,64,1160.1,8,13,8,29,79,100,129,7.46,10.13,8,7.46,34,29,36,41,74,11,10,0,0,-1,465,514,-49
"Alexei Toropchenko","ALEXEI.TOROPCHENKO","8480281","21-22","STL","R","L",1999-06-25,22,2017,4,113,15,147.67,2,0,0,2,26,35,40,2.58,7.69,5.71,7.37,8,1,3,40,25,3,5,1,1,2,1,2,-1
"Alexis Lafrenière","ALEXIS.LAFRENIÈRE","8482109","21-22","NYR","L","L",2001-10-11,19,2020,1,1,64,894.35,15,5,5,25,83,114,143,9.86,18.07,13.16,8.65,24,22,35,93,88,15,10,1,1,-5,9,27,-18
"Aliaksei Protas","ALIAKSEI.PROTAS","8481656","21-22","WSH","C","L",2001-01-06,20,2019,3,91,33,390.5,3,4,2,9,34,44,61,4.61,8.82,6.82,10.48,12,15,8,20,33,0,3,0,0,3,56,69,-13
"Anders Bjork","ANDERS.BJORK","8478075","21-22","BUF","L","L",1996-08-05,25,2014,5,146,51,619.63,4,2,0,6,42,53,79,3.79,9.52,7.55,7.15,15,9,16,10,44,5,7,0,0,2,1,4,-3
"Anders Lee","ANDERS.LEE","8475314","21-22","NYI","C/L","L",1990-07-03,31,2009,6,151,58,968.35,25,8,5,38,123,170,199,20.38,20.33,14.71,11.99,20,20,10,71,49,12,10,0,0,-2,62,65,-3
"Andre Burakovsky","ANDRE.BURAKOVSKY","8477444","21-22","COL","L","L",1995-02-09,26,2013,1,23,64,1035.77,18,17,12,47,111,165,250,10.46,16.22,10.91,6.34,28,29,24,37,76,8,13,0,0,5,8,11,-3
"Andreas Athanasiou","ANDREAS.ATHANASIOU","8476960","21-22","L.A","C","L",1994-08-06,27,2012,4,110,22,323.17,9,3,2,14,51,72,87,5.76,17.65,12.5,8,6,8,10,7,20,1,5,0,0,4,7,5,2
"Andreas Johnsson","ANDREAS.JOHNSSON","8477341","21-22","N.J","L","L",1994-11-21,26,2013,7,202,60,869.47,11,15,4,30,107,136,162,11.67,10.28,8.09,8.58,17,23,22,55,73,13,20,0,0,7,4,10,-6
"Andrei Svechnikov","ANDREI.SVECHNIKOV","8480830","21-22","CAR","R","L",2000-03-26,21,2018,1,2,63,1100.05,25,19,14,58,209,299,384,27.75,11.96,8.36,9.28,13,65,35,151,110,32,25,1,1,-7,0,6,-6
"Andrej Sekera","ANDREJ.SEKERA","8471284","21-22","DAL","D","L",1986-06-08,35,2004,3,71,28,385.2,0,1,2,3,20,28,43,0.6,0,0,2.14,21,12,3,13,32,7,3,0,0,-4,0,0,0
"Andrej Sustr","ANDREJ.SUSTR","8477205","21-22","ANA","D","R",1990-11-29,30,2009,NA,NA,8,145.73,0,0,0,0,9,10,13,0.22,0,0,2.2,10,6,2,3,12,2,2,0,0,0,0,0,0
"Andrej Sustr","ANDREJ.SUSTR","8477205","21-22","T.B","D","R",1990-11-29,30,2009,NA,NA,15,158.32,1,0,0,1,10,16,29,0.28,10,6.25,1.75,6,3,2,8,17,3,0,0,0,-3,0,0,0
"Andrew Cogliano","ANDREW.COGLIANO","8471699","21-22","S.J","C","L",1987-06-14,34,2005,1,25,56,739.27,4,6,5,15,58,84,102,6.09,6.9,4.76,7.25,21,19,24,82,40,6,5,0,0,-1,9,12,-3
"Andrew Copp","ANDREW.COPP","8477429","21-22","NYR","C","L",1994-07-08,27,2013,4,104,3,55.32,1,1,3,5,4,5,6,0.44,25,20,8.8,1,2,2,3,3,0,0,0,0,0,15,13,2
"Andrew Copp","ANDREW.COPP","8477429","21-22","WPG","C","L",1994-07-08,27,2013,4,104,56,1108.35,13,14,8,35,151,203,234,19.31,8.61,6.4,9.51,36,33,30,35,65,4,7,0,0,3,312,266,46
"Andrew Ladd","ANDREW.LADD","8471217","21-22","ARI","L","L",1985-12-12,35,2004,1,4,42,584.38,6,2,1,9,47,68,92,6,12.77,8.82,8.82,27,18,15,62,44,13,4,1,1,-9,5,2,3
"Andrew Mangiapane","ANDREW.MANGIAPANE","8478233","21-22","CGY","L","L",1996-04-04,25,2015,6,166,65,1031.42,30,11,4,45,149,190,240,19.19,20.13,15.79,10.1,29,36,47,56,51,9,15,0,0,6,20,25,-5
"Andrew Peeke","ANDREW.PEEKE","8479369","21-22","CBJ","D","R",1998-03-17,23,2016,2,34,66,1406.98,1,4,8,13,55,87,131,2.46,1.82,1.15,2.83,138,25,13,151,98,18,9,2,2,-9,0,0,0
"Andy Greene","ANDY.GREENE","8472382","21-22","NYI","D","L",1982-10-30,38,2001,NA,NA,53,929.18,2,4,3,9,40,70,102,1.34,5,2.86,1.91,96,28,11,28,72,3,3,0,0,0,0,0,0
"Anthony Beauvillier","ANTHONY.BEAUVILLIER","8478463","21-22","NYI","L","L",1997-06-08,24,2015,1,28,61,1027.3,10,14,7,31,133,171,214,15.6,7.52,5.85,9.12,17,35,26,29,73,2,8,0,0,6,4,6,-2
"Anthony Cirelli","ANTHONY.CIRELLI","8478519","21-22","T.B","C","L",1997-07-15,24,2015,3,72,60,1135.2,14,10,11,35,115,157,197,14.52,12.17,8.92,9.25,58,11,41,63,89,16,33,2,2,17,352,403,-51
"Anthony Duclair","ANTHONY.DUCLAIR","8477407","21-22","FLA","L","L",1995-08-26,26,2013,3,80,57,869.32,26,15,8,49,125,154,189,17.08,20.8,16.88,11.09,14,41,30,26,79,7,15,0,0,8,0,1,-1
"Anthony Mantha","ANTHONY.MANTHA","8477511","21-22","WSH","R","L",1994-09-16,26,2013,1,20,23,351.52,7,6,1,14,55,62,75,5.88,12.73,11.29,9.48,13,6,6,25,20,6,2,0,0,-4,0,0,0
"Antoine Roussel","ANTOINE.ROUSSEL","8474849","21-22","ARI","L","L",1989-11-21,31,2008,NA,NA,47,561.4,3,3,0,6,48,74,90,5.6,6.25,4.05,7.57,32,12,9,65,65,10,12,1,1,2,17,22,-5
"Anton Blidh","ANTON.BLIDH","8477320","21-22","BOS","L","L",1995-03-14,26,2013,6,180,29,305.6,2,4,3,9,22,30,38,2.09,9.09,6.67,6.97,16,5,5,73,44,6,6,0,0,0,0,3,-3
"Anton Lundell","ANTON.LUNDELL","8482113","21-22","FLA","C","L",2001-10-03,19,2020,1,12,52,838.4,14,12,12,38,97,139,177,10.68,14.43,10.07,7.68,47,27,51,25,62,8,12,0,0,4,293,347,-54
"Anton Stralman","ANTON.STRALMAN","8471873","21-22","ARI","D","R",1986-08-01,35,2005,7,216,58,1218.65,5,3,6,14,79,99,142,3.34,6.33,5.05,3.37,82,21,20,68,61,4,4,0,0,0,0,0,0
"Anze Kopitar","ANZE.KOPITAR","8471685","21-22","L.A","C","L",1987-08-24,34,2005,1,11,68,1409.75,17,24,16,57,178,238,293,17.64,9.55,7.14,7.41,58,25,39,60,74,6,15,0,0,9,742,553,189
"Artem Zub","ARTEM.ZUB","8482245","21-22","OTT","D","R",1995-10-03,25,2014,NA,NA,65,1402.33,5,6,9,20,71,100,155,3.58,7.04,5,3.58,114,50,13,127,108,22,5,0,0,-17,0,0,0
"Artemi Panarin","ARTEMI.PANARIN","8478550","21-22","NYR","C/L","R",1991-10-30,29,2010,NA,NA,61,1186.7,17,33,25,75,146,225,310,15.89,11.64,7.56,7.06,13,53,53,18,42,3,11,0,0,8,1,1,0
"Arthur Kaliyev","ARTHUR.KALIYEV","8481560","21-22","L.A","R","L",2001-06-26,20,2019,2,33,67,870.02,13,9,1,23,170,222,265,13.85,7.65,5.86,6.24,10,15,18,24,92,10,5,0,0,-5,0,0,0
"Arttu Ruotsalainen","ARTTU.RUOTSALAINEN","8481626","21-22","BUF","C","L",1997-10-29,23,2016,NA,NA,18,214,2,2,0,4,23,28,37,1.81,8.7,7.14,6.46,6,0,5,14,8,3,1,0,0,-2,51,69,-18
"Artturi Lehkonen","ARTTURI.LEHKONEN","8477476","21-22","MTL","L","L",1995-07-04,26,2013,2,55,58,852.43,13,11,5,29,110,149,187,13.37,11.82,8.72,8.97,26,13,15,59,88,7,8,0,0,1,8,15,-7
"Austin Czarnik","AUSTIN.CZARNIK","8478512","21-22","NYI","C","R",1992-12-12,28,2011,NA,NA,11,120.53,2,2,1,5,9,13,15,1.22,22.22,15.38,9.38,5,4,4,2,9,0,0,0,0,0,24,34,-10
"Austin Czarnik","AUSTIN.CZARNIK","8478512","21-22","SEA","C","R",1992-12-12,28,2011,NA,NA,6,64.77,0,1,1,2,5,9,14,0.31,0,0,3.44,2,0,2,1,3,0,1,0,0,1,0,1,-1
"Austin Poganski","AUSTIN.POGANSKI","8478040","21-22","WPG","R","R",1996-02-16,25,2014,4,110,16,149.15,0,0,0,0,9,16,19,1,0,0,6.25,5,1,1,23,23,1,0,1,1,-1,0,0,0
"Austin Strand","AUSTIN.STRAND","8480467","21-22","L.A","D","R",1997-02-17,24,2015,NA,NA,8,122.32,0,1,1,2,9,9,14,0.25,0,0,2.78,5,4,2,7,18,0,1,0,0,1,0,0,0
"Austin Watson","AUSTIN.WATSON","8475766","21-22","OTT","L","R",1992-01-13,29,2010,1,18,50,592.75,3,2,1,6,62,83,103,4.32,4.84,3.61,5.2,53,13,14,150,43,18,14,7,7,-4,3,8,-5
"Auston Matthews","AUSTON.MATTHEWS","8479318","21-22","TOR","C","L",1997-09-17,23,2016,1,1,60,1229.98,48,20,15,83,274,382,474,32.03,17.52,12.57,8.38,47,42,74,54,88,7,8,0,0,1,570,423,147
"Axel Jonsson-Fjallby","AXEL.JONSSON-FJALLBY","8479536","21-22","WSH","L","L",1998-02-10,23,2016,5,147,21,237.17,1,2,0,3,26,36,44,2.17,3.85,2.78,6.03,8,5,2,15,28,1,4,0,0,3,1,3,-2
"Barclay Goodrow","BARCLAY.GOODROW","8476624","21-22","NYR","C","L",1993-02-26,28,2011,NA,NA,63,1071.07,13,9,3,25,95,126,145,13.13,13.68,10.32,10.42,46,29,28,104,59,16,11,2,2,-5,287,307,-20
"Barrett Hayton","BARRETT.HAYTON","8480849","21-22","ARI","C","L",2000-06-09,21,2018,1,5,44,683.47,6,7,3,16,48,72,94,6.43,12.5,8.33,8.93,25,10,10,61,73,6,12,0,0,6,307,319,-12
"Beck Malenstyn","BECK.MALENSTYN","8479359","21-22","WSH","L","L",1998-02-04,23,2016,5,145,12,108.53,1,0,0,1,10,15,17,1.09,10,6.67,7.27,7,1,2,34,22,2,1,1,1,-1,1,6,-5
"Ben Chiarot","BEN.CHIAROT","8475279","21-22","FLA","D","L",1991-05-09,30,2009,4,119,3,67.45,0,1,0,1,12,13,17,0.4,0,0,3.08,6,3,0,6,8,1,0,0,0,-1,0,0,0
"Ben Chiarot","BEN.CHIAROT","8475279","21-22","MTL","D","L",1991-05-09,30,2009,4,119,54,1271.42,7,7,4,18,96,118,185,3.63,7.29,5.93,3.08,91,57,17,110,74,21,5,0,0,-16,0,0,0
"Ben Harpur","BEN.HARPUR","8477433","21-22","NSH","D","L",1995-01-12,26,2013,4,108,19,261.03,0,0,1,1,13,24,33,0.47,0,0,1.96,21,12,0,36,31,6,2,3,3,-4,0,0,0
"Ben Hutton","BEN.HUTTON","8477018","21-22","VGK","D","L",1993-04-20,28,2012,5,147,44,685.27,3,6,2,11,57,78,121,2.24,5.26,3.85,2.87,56,17,14,36,110,5,3,3,3,-2,0,0,0
"Benoit-Olivier Groulx","BENOIT-OLIVIER.GROULX","8480870","21-22","ANA","C","L",2000-02-06,21,2018,2,54,18,197.9,1,1,1,3,17,21,31,2.24,5.88,4.76,10.67,6,3,4,19,20,1,0,0,0,-1,38,45,-7
"Blake Coleman","BLAKE.COLEMAN","8476399","21-22","CGY","C","L",1991-11-28,29,2011,3,75,64,971.43,13,9,7,29,178,225,274,18.3,7.3,5.78,8.13,40,41,29,126,57,20,13,2,2,-7,2,15,-13
"Blake Comeau","BLAKE.COMEAU","8471260","21-22","DAL","L","R",1986-02-18,35,2004,2,47,6,68.82,1,0,0,1,2,2,5,0.15,50,50,7.5,3,4,1,13,5,2,0,0,0,-2,1,0,1
"Blake Lizotte","BLAKE.LIZOTTE","8481481","21-22","L.A","C","L",1997-12-13,23,2016,NA,NA,61,722.6,8,6,5,19,76,102,119,7.4,10.53,7.84,7.25,11,9,25,63,121,14,15,0,0,1,276,238,38
"Blake Wheeler","BLAKE.WHEELER","8471218","21-22","WPG","R","R",1986-08-31,35,2004,1,5,53,1049.6,10,24,18,52,129,163,210,16.38,7.75,6.13,10.05,30,25,27,50,49,14,9,0,0,-5,3,13,-10
"Bo Horvat","BO.HORVAT","8477500","21-22","VAN","C","L",1995-04-05,26,2013,1,9,63,1246.3,25,11,7,43,170,231,271,20.46,14.71,10.82,8.86,43,23,28,85,53,19,9,0,0,-10,765,584,181
"Boone Jenner","BOONE.JENNER","8476432","21-22","CBJ","C","L",1993-06-15,28,2011,2,37,59,1206.75,23,11,10,44,160,221,266,19.74,14.37,10.41,8.93,56,29,33,80,45,11,13,0,0,2,642,556,86
"Boris Katchouk","BORIS.KATCHOUK","8479383","21-22","CHI","L","L",1998-06-18,23,2016,2,44,6,69.82,0,0,0,0,7,9,10,0.61,0,0,6.78,3,2,1,14,6,2,1,0,0,-1,0,1,-1
"Boris Katchouk","BORIS.KATCHOUK","8479383","21-22","T.B","L","L",1998-06-18,23,2016,2,44,38,373.18,2,2,2,6,36,53,67,4.29,5.56,3.77,8.09,11,4,10,98,41,5,11,1,1,6,7,9,-2
"Bowen Byram","BOWEN.BYRAM","8481524","21-22","COL","D","L",2001-06-13,20,2019,1,4,18,352.32,5,2,4,11,35,47,69,1.77,14.29,10.64,3.77,15,7,5,27,40,3,0,0,1,-2,0,0,0
"Brad Hunt","BRAD.HUNT","8476779","21-22","VAN","D","L",1988-08-24,33,2006,NA,NA,37,558.53,3,5,5,13,50,65,94,1.57,6,4.62,2.42,39,17,9,14,62,6,1,0,0,-5,0,0,0
"Brad Malone","BRAD.MALONE","8474089","21-22","EDM","C","L",1989-05-20,32,2007,4,105,8,66.23,1,1,0,2,7,9,11,0.79,14.29,11.11,8.78,1,2,0,22,5,1,1,0,0,0,13,14,-1
"Brad Marchand","BRAD.MARCHAND","8473419","21-22","BOS","C/L","L",1988-05-11,33,2006,3,71,54,1040.15,28,24,13,65,186,232,298,19.78,15.05,12.07,8.53,16,49,34,59,76,23,23,2,1,-1,9,15,-6
"Brad Richardson","BRAD.RICHARDSON","8470755","21-22","CGY","R","L",1985-02-04,36,2003,5,163,27,268.25,2,1,1,4,19,28,36,1.91,10.53,7.14,6.82,9,3,3,40,32,6,5,1,1,-1,80,56,24
"Braden Schneider","BRADEN.SCHNEIDER","8482073","21-22","NYR","D","R",2001-09-20,19,2020,1,19,28,442.03,1,2,3,6,20,32,44,0.92,5,3.12,2.88,36,11,3,43,61,3,0,0,0,-3,0,0,0
"Brady Skjei","BRADY.SKJEI","8476869","21-22","CAR","D","L",1994-03-26,27,2012,1,28,66,1387.13,8,10,11,29,146,195,259,7.16,5.48,4.1,3.67,63,52,42,80,93,20,6,0,0,-14,0,0,0
"Brady Tkachuk","BRADY.TKACHUK","8480801","21-22","OTT","L","L",1999-09-16,21,2018,1,4,62,1153.37,22,17,7,46,222,289,367,28.07,9.91,7.61,9.71,24,51,33,216,103,33,26,4,4,-7,180,166,14
"Brandon Carlo","BRANDON.CARLO","8478443","21-22","BOS","D","R",1996-11-26,24,2015,2,37,63,1242.25,5,4,4,13,108,139,179,2.62,4.63,3.6,1.88,88,20,24,106,154,11,10,1,1,-1,0,0,0
"Brandon Duhaime","BRANDON.DUHAIME","8479520","21-22","MIN","R","L",1997-05-22,24,2016,4,106,62,647.87,6,5,5,16,76,102,137,6.96,7.89,5.88,6.82,15,10,13,158,75,15,11,8,7,-5,6,11,-5
"Brandon Hagel","BRANDON.HAGEL","8479542","21-22","CHI","L","L",1998-08-27,23,2016,6,159,55,960.53,22,12,3,37,95,127,176,11.77,23.16,17.32,9.27,25,25,39,42,131,9,19,1,1,10,12,19,-7
"Brandon Hagel","BRANDON.HAGEL","8479542","21-22","T.B","L","L",1998-08-27,23,2016,6,159,5,62.58,1,0,0,1,5,7,7,0.66,20,14.29,9.43,0,1,4,1,6,0,0,0,0,0,1,0,1
"Brandon Montour","BRANDON.MONTOUR","8477986","21-22","FLA","D","R",1994-04-11,27,2014,2,55,64,1109.75,8,6,12,26,121,171,238,6.99,6.61,4.68,4.09,53,30,15,39,82,19,11,0,0,-8,0,0,0
"Brandon Saad","BRANDON.SAAD","8476438","21-22","STL","L","L",1992-10-27,28,2011,2,43,61,993.73,19,12,6,37,123,153,183,15.67,15.45,12.42,10.24,14,21,37,19,43,4,7,0,0,3,6,9,-3
"Brandon Tanev","BRANDON.TANEV","8479293","21-22","SEA","L","L",1991-12-31,29,2010,NA,NA,30,437.03,9,4,2,15,51,64,77,7.5,17.65,14.06,11.72,22,11,10,98,56,4,5,1,1,1,1,1,0
"Brayden McNabb","BRAYDEN.MCNABB","8475188","21-22","VGK","D","L",1991-01-21,30,2009,3,66,55,1084.62,2,2,7,11,62,102,148,2.91,3.23,1.96,2.85,141,18,30,113,132,12,10,2,2,-2,0,0,0
"Brayden Point","BRAYDEN.POINT","8478010","21-22","T.B","C","R",1996-03-13,25,2014,3,79,51,998.83,24,11,14,49,137,202,233,20.63,17.52,11.88,10.21,16,17,28,48,55,6,12,3,3,6,269,255,14
"Brayden Schenn","BRAYDEN.SCHENN","8475170","21-22","STL","C","L",1991-08-22,30,2009,1,5,49,862.27,18,19,6,43,87,116,153,11.82,20.69,15.52,10.19,13,19,26,87,32,7,5,3,3,-2,195,211,-16
